2037,2026,2806,3154,1647,1749,1196,1173
2036,2035,2801,3152,1649,1744,1176,1172
2031,2042,2805,3145,1651,1749,1152,1176
2029,2041,2805,3146,1646,1744,1127,1175
2034,2037,2806,3145,1648,1738,1109,1150
2035,2038,2807,3145,1649,1739,1097,1122
2029,2047,2804,3154,1648,1753,1072,1061
2037,2040,2808,3150,1650,1736,1056,1039
2031,2037,2809,3153,1649,1735,1028,1006
2025,2031,2809,3152,1644,1730,995,963
2031,2040,2807,3159,1649,1737,957,917
2031,2039,2804,3155,1646,1734,932,881
2034,2042,2806,3150,1648,1730,923,851
2031,2043,2802,3147,1648,1726,921,816
2032,2042,2804,3145,1649,1726,916,786
2031,2042,2806,3143,1648,1722,912,753
2034,2041,2806,3145,1649,1719,908,716
2032,2042,2804,3150,1649,1726,900,686
2031,2042,2805,3151,1649,1717,893,664
2033,2042,2805,3154,1649,1718,885,634
2036,2038,2803,3157,1648,1713,870,601
2035,2041,2804,3162,1648,1715,853,562
2033,2043,2804,3158,1649,1708,837,530
2043,2039,2806,3155,1650,1709,825,519
2032,2040,2807,3158,1650,1709,816,521
2027,2044,2805,3158,1648,1707,805,529
2032,2042,2805,3158,1650,1706,790,548
2035,2042,2805,3160,1648,1704,778,551
2030,2048,2803,3156,1649,1706,770,550
2029,2043,2806,3154,1650,1702,761,540
2032,2048,2802,3158,1650,1696,743,510
2027,2055,2805,3161,1649,1718,734,501
2031,2045,2804,3158,1649,1702,711,489
2029,2053,2806,3156,1649,1697,681,457
2026,2053,2806,3152,1650,1695,657,427
2025,2054,2805,3153,1650,1699,634,395
2026,2052,2803,3152,1651,1697,624,389
2024,2051,2803,3151,1650,1693,614,380
2022,2057,2804,3145,1651,1690,603,355
2021,2058,2805,3137,1653,1694,589,334
2019,2064,2805,3136,1653,1697,573,314
2015,2065,2805,3127,1652,1692,561,305
2008,2074,2806,3118,1650,1694,551,292
2008,2073,2804,3107,1649,1688,545,263
2006,2077,2804,3095,1650,1684,538,224
2009,2077,2802,3089,1653,1685,531,209
2003,2074,2805,3087,1649,1685,529,199
2004,2077,2804,3082,1652,1682,525,177
2000,2079,2804,3080,1649,1682,515,155
2002,2078,2803,3075,1651,1682,500,131
1998,2079,2804,3074,1653,1679,490,121
2001,2078,2802,3071,1652,1674,483,115
1998,2080,2806,3067,1652,1677,472,104
1998,2082,2805,3069,1652,1677,448,102
1998,2080,2806,3072,1652,1675,436,107
1995,2073,2801,3068,1651,1664,427,116
1993,2077,2807,3066,1652,1672,411,133
1994,2080,2807,3061,1653,1669,385,143
1995,2077,2802,3064,1653,1667,363,153
1994,2081,2803,3065,1652,1667,351,154
1997,2082,2805,3060,1652,1665,335,147
1993,2079,2807,3057,1653,1662,320,132
1992,2082,2806,3053,1651,1662,304,108
1992,2082,2804,3053,1652,1662,292,104
1992,2079,2804,3052,1652,1662,277,105
1994,2079,2805,3045,1653,1662,265,107
1994,2078,2805,3043,1653,1657,256,108
1993,2080,2803,3042,1654,1658,231,108
1993,2080,2802,3041,1653,1652,214,107
1992,2078,2806,3043,1654,1651,200,108
1990,2078,2804,3042,1654,1649,189,115
1991,2082,2803,3048,1653,1655,177,120
1989,2081,2805,3046,1656,1657,167,120
1990,2079,2805,3040,1654,1651,155,114
1997,2079,2801,3037,1654,1646,146,108
1993,2082,2808,3041,1654,1647,143,106
1987,2081,2804,3039,1654,1649,139,104
1993,2077,2805,3038,1658,1649,134,104
1987,2078,2807,3035,1656,1647,131,98
1990,2077,2804,3033,1655,1648,129,93
1990,2076,2805,3035,1655,1646,123,89
1990,2076,2806,3034,1655,1642,121,89
1994,2073,2804,3033,1654,1645,120,91
1992,2079,2805,3029,1654,1641,120,94
1992,2081,2803,3025,1654,1642,121,98
2002,2077,2804,3022,1659,1641,122,102
1990,2076,2804,3021,1655,1640,123,106
1990,2083,2804,3024,1655,1653,123,107
